会计,,,,,,,,1
会计,,,,,,,,1
会计,,,,,,,,1
会计,,,,,,,,1
会计,,,,,,,,1
会计,,,,,,,,1
会计,,,,,,,,1
会计,,,,,,,,1
会计信息管理,,,,,,,,6
会计学,13,4,2,13,5,,7,245
会计学,1,,,,,,,2
会计学,,,,,,,,1
会计学,1,,,1,,,1,
会计学,,,,,,,,2
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学,1,,,,,,,
会计学,,,,,,,,1
会计学,1,1,1,,,,,
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学,,,,,,,,6
会计学,1,,,,,,,
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学,,,,,,,,1
会计学类,,,,,,,,2
传播与策划,,1,,1,1,,2,7
传播与策划,,,,,,,,1
传播学,,,,2,,,1,18
传播学,,,,,,,,1
传播学,1,1,1,,,,,
伪装与防护工程,2,,,,,,,
体育保健与康复,,,,,,,,3
体育学类,,,,,,,,6
体育学类,,,,,,,,1
体育教育,3,3,3,,,,,54
体育教育,,,,,,,,1
体育教育,,,,,,,,1
体育教育,,,,,,,,10
体育类,,,,,,,,1
体育经济与管理,,,,,,,,13
体育艺术表演,,,,,,,,1
体育运营与管理,1,,,,,,1,9
作战指挥,4,4,2,,,,2,10
作战指挥(武警),,,,,,,,2
作战指挥,2,,,,,,2,
作战指挥,2,,,,2,,2,
作战环境工程,2,,,,,,,
作战环境工程 ,,,,,,,,2
作战环境工程,2,,,,2,,,
作战目标工程,2,2,,,,,2,
作战运筹与任务规划,2,2,,,,,2,
作曲与作曲技术理论,,,,,,,,14
作曲与作曲技术理论,,,,,,,,1
作曲与作曲技术理论,,,,,,,,1
作曲与作曲技术理论,,,,,,,,1
作曲与作曲技术理论,,,,,,,,1
作曲与作曲技术理论,,,,,,,,1
作曲与作曲技术理论,,,,,,,,1
作曲与作曲技术理论,,,,,,,,1
作曲与作曲技术理论,,,,,,,,1
作曲与作曲技术理论,,,,,,,,1
作曲与作曲技术理论,,,,,,,,1
作曲与作曲技术理论,,,,,,,,1
作物生产技术,,,,,,,,1
供热通风与空调工程技术,1,1,,,,,1,4
供用电技术,2,1,,,,,2,4
侦察情报,,,,,,,,4
侦察情报,,,,2,2,,2,
侦察情报,,,,2,2,,2,
侦察情报,2,2,,,2,,4,
侦察情报,,,,2,2,,2,
侦察情报,,2,,,2,,2,
侦察情报,,2,,,2,,2,
侦察情报,,,,2,2,,2,
侦察情报,,,,2,2,,2,
侦察情报,2,,,,,,,
侦察情报,,,,2,2,,2,
侦察情报,,,,2,2,,2,
侦查学,,,,,,,,6
侦查学,,,,,,,,1
侦查学,,,,,,,,1
侦查学,,,,,,,,1
侦测工程,2,,,,,,,
侦测工程,2,,,,,,,
俄语,2,,,4,3,,,54
俄语,,,,,,,,1
保健品开发与管理,,1,1,,,,1,
保密管理,2,1,,,,,1,
保险,,,,,,,,7
保险,,,,,,,,1
保险学,2,1,1,2,1,,1,29
保险学,,,,,,,,1
保险学,,,,,,,,1
保险学,1,,,,,,,
保险学,1,,,1,,,,
信息与计算科学,80,48,31,1,3,,40,26
信息与计算科学,1,,,,,,,
信息与计算科学,1,1,,,,,1,
信息与通信工程类,1,,,,,,,
信息安全,24,11,5,,,,11,4
信息安全,,,,,,,,2
信息安全,2,,,,,,,
信息安全(武警),,,,,,,,2
信息安全与管理,1,,,,1,,1,18
信息对抗技术,9,3,,,,,5,
信息对抗技术,2,,,,,,,
信息对抗技术,2,,,,,,,
信息工程,13,5,1,,,,3,4
信息工程,1,,,,,,,
信息工程,2,,,,,,,
信息工程,1,1,,,,,1,
信息技术与国际服务工程类,1,,,,,,1,
信息技术与电子商务类,1,,,,1,,1,
信息管理与信息系统,78,42,17,6,4,,62,75
信息管理与信息系统,1,,,,1,,1,
信息管理与信息系统,,,,,,,,1
信息管理与信息系统,,,,,,,,1
信息管理与信息系统,,,,,,,,1
信息类,1,,,,,,1,
信息网络安全监察,,,,,,,,1
信息资源管理,2,1,1,,,,1,4
信用管理,2,1,1,1,,,1,5
信用管理,,,,,,,,1
假肢矫形工程,1,1,1,,,,,
健康服务与管理,,,,,,,,8
健康管理,,,1,,1,,1,7
健康管理,,,,,,,,1
健康管理与促进类,,1,1,1,,,,1
健康管理与促进类,,,,,,,,1
健行学院实验班类,,,,,,,,1
